,음식점,맛있다,빠르다,웨이팅,비싸다,청결,더럽다,쾌적,분위기,넓다,좁다,친절하다,불친절하다,좋다,강추,별로,신선하다,다양하다,편리하다,유명하다,총 리뷰수
0,버거킹 군자능동점,32.92929292929293,3.4343434343434343,0.06734006734006734,0.5387205387205387,0.06734006734006734,0.0,0.06734006734006734,0.06734006734006734,7.34006734006734,0.13468013468013468,5.521885521885522,0.20202020202020202,48.215488215488215,0.13468013468013468,0.33670033670033667,0.26936026936026936,0.26936026936026936,0.40404040404040403,0.0,1485.0
1,빠오즈푸 본점,50.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,5.555555555555555,18.0
2,숙성부심,44.83747609942639,0.09560229445506692,2.9636711281070744,0.09560229445506692,0.0,0.0,0.0,2.9636711281070744,0.7648183556405354,0.09560229445506692,13.288718929254303,0.0,28.011472275334608,1.24282982791587,0.28680688336520077,0.5736137667304015,4.684512428298279,0.0,0.09560229445506692,1046.0
3,영미오리탕,55.87703435804702,0.0,3.4358047016274864,0.5424954792043399,0.0,0.18083182640144665,0.0,0.18083182640144665,0.18083182640144665,1.62748643761302,6.871609403254973,0.5424954792043399,24.593128390596743,0.18083182640144665,2.1699819168173597,1.0849909584086799,0.0,0.0,2.5316455696202533,553.0
4,싸다김밥 어린이대공원역점,44.612794612794616,0.5050505050505051,0.0,0.8417508417508417,0.16835016835016833,0.33670033670033667,0.0,0.16835016835016833,0.5050505050505051,0.0,4.882154882154882,0.0,43.602693602693606,0.16835016835016833,1.0101010101010102,0.8417508417508417,2.1885521885521886,0.16835016835016833,0.0,594.0
5,산들,49.185667752442995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.908794788273615,0.0,44.62540716612378,0.32573289902280134,0.0,0.32573289902280134,0.32573289902280134,0.0,1.3029315960912053,307.0
6,은혜즉석떡볶이,69.23076923076923,0.0,0.0,1.5384615384615385,0.0,0.0,0.0,1.5384615384615385,0.0,0.0,7.179487179487179,0.0,17.94871794871795,0.0,0.5128205128205128,0.5128205128205128,0.0,0.0,1.5384615384615385,195.0
7,능동아구찜,51.31578947368421,0.23923444976076555,0.0,0.7177033492822966,0.0,0.0,0.0,0.3588516746411483,1.1961722488038278,0.0,9.569377990430622,0.0,27.27272727272727,1.076555023923445,0.8373205741626795,5.263157894736842,1.555023923444976,0.11961722488038277,0.4784688995215311,836.0
8,보승회관 군자역점,47.12460063897764,0.0,0.0,0.9584664536741214,0.0,0.1597444089456869,0.0,0.3194888178913738,6.230031948881789,0.0,9.744408945686901,0.1597444089456869,32.108626198083066,0.4792332268370607,1.2779552715654952,0.1597444089456869,0.4792332268370607,0.0,0.7987220447284344,626.0
9,미식반점 군자본점,60.48526863084922,0.5199306759098787,0.34662045060658575,0.17331022530329288,0.17331022530329288,0.0,0.0,2.079722703639515,1.733102253032929,0.0,3.6395147313691507,0.8665511265164645,24.436741767764296,1.733102253032929,0.8665511265164645,0.8665511265164645,0.5199306759098787,0.17331022530329288,1.386481802426343,577.0
10,미식일가,36.7816091954023,0.0,3.1609195402298855,0.5747126436781609,0.0,0.0,0.0,6.896551724137931,0.0,1.4367816091954022,12.931034482758621,0.28735632183908044,30.747126436781606,0.28735632183908044,1.1494252873563218,4.022988505747127,1.1494252873563218,0.0,0.5747126436781609,348.0
11,스위트앤카츠,30.60796645702306,0.0,0.0,1.0482180293501049,0.0,0.0,0.0,0.20964360587002098,0.0,1.6771488469601679,15.723270440251572,0.0,39.41299790356394,0.8385744234800839,2.515723270440252,0.628930817610063,6.918238993710692,0.20964360587002098,0.20964360587002098,477.0
12,스시노칸도 어린이대공원역점,47.61904761904761,0.3968253968253968,0.0,0.3968253968253968,0.0,0.0,0.0,0.496031746031746,0.7936507936507936,0.1984126984126984,8.73015873015873,0.6944444444444444,26.488095238095237,0.1984126984126984,0.6944444444444444,6.944444444444445,5.952380952380952,0.2976190476190476,0.0992063492063492,1008.0
13,천미향,43.866171003717476,0.37174721189591076,0.0,2.2304832713754648,0.0,0.0,0.0,0.7434944237918215,2.2304832713754648,0.0,9.66542750929368,0.0,38.66171003717472,0.7434944237918215,1.1152416356877324,0.0,0.0,0.0,0.37174721189591076,269.0
14,하이난,45.58011049723757,0.2762430939226519,0.0,3.314917127071823,0.0,0.0,0.0,2.4861878453038675,1.1049723756906076,0.0,8.287292817679557,0.2762430939226519,35.0828729281768,0.5524861878453038,1.1049723756906076,1.1049723756906076,0.8287292817679558,0.0,0.0,362.0
15,샐러디 군자역점,40.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,13.333333333333334,0.0,0.0,26.666666666666668,0.0,0.0,0.0,15.0
16,기와집 능이백숙삼계탕 본점,54.325259515570934,0.0,0.0,1.0380622837370241,0.0,0.0,0.0,0.34602076124567477,1.7301038062283738,0.0,10.380622837370241,0.34602076124567477,27.68166089965398,0.34602076124567477,1.384083044982699,1.0380622837370241,0.0,0.34602076124567477,1.0380622837370241,289.0
17,한촌설렁탕 군자점,49.6437054631829,0.9501187648456058,0.0,0.0,0.0,0.0,0.0,0.23752969121140144,0.7125890736342043,0.0,14.726840855106888,0.0,31.828978622327792,0.0,0.7125890736342043,0.23752969121140144,0.7125890736342043,0.23752969121140144,0.0,421.0
18,카레당,54.95049504950495,0.0,0.49504950495049505,0.6600660066006601,0.0,0.0,0.0,5.115511551155116,0.16501650165016502,0.16501650165016502,8.745874587458747,0.0,26.897689768976896,0.49504950495049505,0.33003300330033003,0.49504950495049505,0.9900990099009901,0.16501650165016502,0.33003300330033003,606.0
19,하오츠,57.70609318996416,0.0,0.0,0.35842293906810035,0.0,0.0,0.0,0.35842293906810035,0.35842293906810035,0.35842293906810035,10.39426523297491,1.7921146953405016,25.089605734767023,0.35842293906810035,1.0752688172043012,1.0752688172043012,0.7168458781362007,0.0,0.35842293906810035,279.0
20,새벽집군자점,37.13592233009709,0.0,0.0,0.7281553398058253,0.0,0.0,0.0,3.3980582524271843,2.1844660194174756,0.0,6.553398058252427,1.4563106796116505,39.32038834951456,0.24271844660194172,0.9708737864077669,3.8834951456310676,1.6990291262135921,0.48543689320388345,1.9417475728155338,412.0
21,능동국시,58.02919708029197,0.36496350364963503,0.0,0.36496350364963503,0.36496350364963503,0.0,0.0,0.0,0.7299270072992701,0.0,10.948905109489052,0.0,25.18248175182482,0.7299270072992701,2.5547445255474455,0.0,0.0,0.0,0.7299270072992701,274.0
22,군자김밥 군자본점,34.80392156862745,0.49019607843137253,0.0,0.0,0.49019607843137253,0.49019607843137253,0.0,0.0,0.0,0.0,9.313725490196079,1.4705882352941175,49.01960784313725,0.0,0.9803921568627451,0.9803921568627451,1.9607843137254901,0.0,0.0,204.0
23,또래끼리,61.04868913857678,0.0,0.0,0.37453183520599254,0.0,0.0,0.0,0.0,0.0,0.0,3.3707865168539324,0.37453183520599254,32.20973782771536,0.37453183520599254,1.1235955056179776,0.0,0.0,0.0,1.1235955056179776,267.0
24,세종원 군자본점,62.251655629139066,0.33112582781456956,0.0,0.33112582781456956,0.0,0.0,0.0,0.6622516556291391,0.33112582781456956,0.0,8.609271523178808,0.0,24.834437086092713,1.6556291390728477,0.0,0.6622516556291391,0.0,0.33112582781456956,0.0,302.0
